iter	Passed	Remaining
0	3	527
1	5	459
2	8	442
3	11	428
4	13	410
5	15	390
6	17	377
7	19	365
8	21	355
9	23	348
10	25	341
11	28	338
12	30	333
13	32	327
14	34	323
15	36	318
16	38	315
17	40	311
18	43	311
19	45	308
20	47	305
21	49	302
22	51	299
23	53	296
24	56	293
25	58	290
26	60	288
27	62	286
28	64	283
29	67	281
30	69	278
31	71	276
32	73	274
33	75	271
34	77	269
35	80	266
36	82	264
37	84	262
38	86	260
39	89	258
40	91	255
41	93	253
42	95	250
43	97	248
44	99	246
45	102	244
46	104	242
47	106	239
48	108	237
49	111	235
50	113	232
51	115	230
52	117	228
53	119	225
54	121	223
55	123	221
56	125	218
57	128	217
58	130	214
59	132	212
60	135	210
61	137	208
62	139	206
63	141	203
64	143	201
65	146	199
66	148	196
67	150	194
68	152	192
69	154	190
70	157	188
71	159	186
72	161	184
73	164	182
74	166	179
75	168	177
76	170	175
77	172	172
78	174	170
79	176	168
80	179	165
81	181	163
82	183	161
83	185	158
84	187	156
85	189	154
86	191	151
87	193	149
88	195	147
89	197	145
90	200	143
91	202	140
92	204	138
93	206	136
94	208	134
95	210	131
96	213	129
97	214	127
98	217	125
99	219	122
100	221	120
101	223	118
102	225	116
103	227	113
104	230	111
105	232	109
106	234	107
107	236	105
108	238	102
109	240	100
110	242	98
111	244	96
112	246	93
113	247	91
114	249	89
115	251	86
116	253	84
117	255	82
118	257	80
119	259	77
120	261	75
121	263	73
122	265	71
123	266	68
124	269	66
125	271	64
126	273	62
127	274	60
128	276	57
129	279	55
130	281	53
131	283	51
132	285	49
133	287	47
134	289	45
135	291	42
136	293	40
137	295	38
138	297	36
139	299	34
140	301	32
141	304	29
142	305	27
143	307	25
144	309	23
145	311	21
146	313	19
147	315	17
148	317	14
149	319	12
150	321	10
151	323	8
152	325	6
153	327	4
154	329	2
155	331	0
